code,name,market,exchange,industry,is_st,listing_date,total_market_cap,free_float_market_cap,latest_price,amount,pe_ttm,pb,is_suspended,is_penny_stock,is_biotech_w,is_profitable_biotech,avg_turnover_20d,effective_trade_days_30d,has_financial_history,consecutive_losses,long_negative_ocf,has_quality_financials,roe,gross_margin,net_margin,debt_asset_ratio,ocf_to_net_profit,has_growth_history,revenue_cagr,net_profit_cagr,valuation_industry,dividend_yield,fcf_yield,pe_percentile,pb_percentile,industry_dividend_median,industry_dividend_count
000423,东阿阿胶,CN,SZSE,C 制造业,False,1996-07-29T00:00:00.000,29416861320.32,29365401384.239998,45.68,385062453.0,16.919,2.726,False,False,False,True,385062453.0,20.0,True,False,False,True,0.1666,0.7346974566,0.2594952302,0.2255375736,1.3165892193,True,0.1446812511,1.0930083868,C 制造业,0.0289880937,0.0778195794,0.3086680761,0.4471458774,0.0082352941,83
000598,兴蓉环境,CN,SZSE,D 水电煤气,False,1996-05-29T00:00:00.000,20261419215.59,20228956225.59,6.79,186946116.0,10.094,1.0,False,False,False,True,186946116.0,20.0,True,False,False,True,0.106,0.4411378689,0.221117411,0.5808908915,1.8457098739,True,0.1103208407,0.0907863228,D 水电煤气,0.0346391753,0.1826461405,0.1724137931,0.2068965517,0.0186440678,7
000848,承德露露,CN,SZSE,C 制造业,False,1997-11-13T00:00:00.000,7833600568.320001,7765586488.32,7.68,75954430.0,12.8,2.111,False,False,False,True,75954430.0,20.0,True,False,False,True,0.1778,0.4474015066,0.1976031257,0.3427759666,1.6142188417,True,0.1126960593,0.0772916627,C 制造业,0.0582072177,0.1292232815,0.2632135307,0.2996828753,0.0082352941,83
000915,华特达因,CN,SZSE,C 制造业,False,1999-06-09T00:00:00.000,6341009984.1,6336976691.1,27.06,41030363.0,11.868,2.134,False,False,False,True,41030363.0,20.0,True,False,False,True,0.1829,0.8511081414,0.2401209455,0.1295371794,2.3763129372,True,0.0412007603,0.1297391169,C 制造业,0.07390983,0.2005236806,0.2568710359,0.3081395349,0.0082352941,83
000975,山金国际,CN,SZSE,B 采矿业,False,2000-06-08T00:00:00.000,58417153076.52,53164610269.189995,21.07,948911387.0,19.682,3.597,False,False,False,True,948911387.0,20.0,True,False,False,True,0.2156,0.3182193397,0.1737953873,0.1864508657,1.5749068456,True,0.1668175308,0.1905406467,B 采矿业,0.0170294966,0.0801149209,0.3448275862,0.4482758621,0.0083528233,5
000999,华润三九,CN,SZSE,C 制造业,False,2000-03-09T00:00:00.000,39075835305.84,39040055190.44,23.48,161814386.0,11.398,1.681,False,False,False,True,161814386.0,20.0,True,False,False,True,0.1607,0.5402999231,0.1082507021,0.3457646401,1.6115407437,True,0.183039074,0.1645095671,C 制造业,0.024370095,0.141086756,0.25,0.182346723,0.0082352941,83
001216,华瓷股份,CN,SZSE,C 制造业,False,2021-10-19T00:00:00.000,5080075081.2,4272625662.6,17.4,48044880.0,19.773,2.695,False,False,False,True,48044880.0,20.0,True,False,False,True,0.1235,0.3345814714,0.1498124259,0.183090988,1.582252809,True,0.0982293869,0.1331611478,C 制造业,0.0239485564,0.0686636176,0.3430232558,0.4376321353,0.0082352941,83
001286,陕西能源,CN,SZSE,D 水电煤气,False,2023-04-10T00:00:00.000,40837500000.0,14701500000.0,10.89,545751816.0,13.613,1.485,False,False,False,True,545751816.0,20.0,True,False,False,True,0.1182,0.3677524469,0.1310871185,0.5453014856,2.9874811849,True,0.1878133982,0.3224439523,D 水电煤气,0.0393442623,0.2201609079,0.275862069,0.4137931034,0.0186440678,7
002001,新和成,CN,SZSE,C 制造业,False,2004-06-25T00:00:00.000,86055807040.0,85032133984.0,28.0,1129697172.0,12.67,2.45,False,False,False,True,1129697172.0,20.0,True,False,False,True,0.2187,0.4467391229,0.3039903473,0.2772751322,1.3005872607,True,0.1662326171,0.136741171,C 制造业,0.0260926288,0.1022293747,0.2610993658,0.3884778013,0.0082352941,83
002003,伟星股份,CN,SZSE,C 制造业,False,2004-06-25T00:00:00.000,10283895498.45,8841172508.199999,8.65,37459810.0,15.727,2.2,False,False,False,True,37459810.0,20.0,True,False,False,True,0.1441,0.4203445898,0.1342824627,0.3237517122,1.7600313931,True,0.1397273809,0.1021970403,C 制造业,0.040526849,0.110319373,0.2928118393,0.3234672304,0.0082352941,83
