code,name,market,exchange,industry,is_st,listing_date,total_market_cap,free_float_market_cap,latest_price,amount,pe_ttm,pb,is_suspended,is_penny_stock,is_biotech_w,is_profitable_biotech,avg_turnover_20d,effective_trade_days_30d,has_financial_history,consecutive_losses,long_negative_ocf,has_quality_financials,roe,gross_margin,net_margin,debt_asset_ratio,ocf_to_net_profit,has_growth_history,revenue_cagr,net_profit_cagr,valuation_industry,dividend_yield,fcf_yield,pe_percentile,pb_percentile,industry_dividend_median,industry_dividend_count
000423,东阿阿胶,CN,SZSE,C 制造业,False,1996-07-29T00:00:00.000,31657900667.84,31602520403.88,49.16,197987297.0,18.207,2.933,False,False,False,True,197987297.0,20.0,True,False,False,True,0.1666,0.7346974566,0.2594952302,0.2255375736,1.3165892193,True,0.1446812511,1.0930083868,C 制造业,0.0289880937,0.072310789,0.3134249471,0.4735729387,0.0082352941,73
000598,兴蓉环境,CN,SZSE,D 水电煤气,False,1996-05-29T00:00:00.000,21156621831.89,21122724541.890003,7.09,185086153.0,10.54,1.045,False,False,False,True,185086153.0,20.0,True,False,False,True,0.106,0.4411378689,0.221117411,0.5808908915,1.8457098739,True,0.1103208407,0.0907863228,D 水电煤气,0.0328033473,0.174917813,0.1379310345,0.1034482759,0.0218298363,6
000848,承德露露,CN,SZSE,C 制造业,False,1997-11-13T00:00:00.000,8200800594.959999,8129598354.96,8.04,101664514.0,13.4,2.21,False,False,False,True,101664514.0,20.0,True,False,False,True,0.1778,0.4474015066,0.1976031257,0.3427759666,1.6142188417,True,0.1126960593,0.0772916627,C 制造业,0.0582072177,0.1234371644,0.2610993658,0.3081395349,0.0082352941,73
000893,亚钾国际,CN,SZSE,C 制造业,False,1998-12-24T00:00:00.000,42192177198.42,37067076753.84,45.66,383502877.0,24.939,3.037,False,False,False,True,383502877.0,20.0,True,False,False,True,0.1328,0.5856857319,0.3140975835,0.3324339765,1.3644324274,True,0.7109677458,0.9480700326,C 制造业,0.009310987,0.0540887063,0.3868921776,0.4915433404,0.0082352941,73
000915,华特达因,CN,SZSE,C 制造业,False,1999-06-09T00:00:00.000,6444115837.5,6440016962.5,27.5,46495491.0,12.061,2.169,False,False,False,True,46495491.0,20.0,True,False,False,True,0.1829,0.8511081414,0.2401209455,0.1295371794,2.3763129372,True,0.0412007603,0.1297391169,C 制造业,0.071942446,0.1973153017,0.2494714588,0.2965116279,0.0082352941,73
000975,山金国际,CN,SZSE,B 采矿业,False,2000-06-08T00:00:00.000,63074999168.99999,57403648961.75,22.75,986159176.0,21.252,3.884,False,False,False,True,986159176.0,20.0,True,False,False,True,0.2156,0.3182193397,0.1737953873,0.1864508657,1.5749068456,True,0.1668175308,0.1905406467,B 采矿业,0.0170294966,0.0741987421,0.3103448276,0.4482758621,0.0083528233,5
000999,华润三九,CN,SZSE,C 制造业,False,2000-03-09T00:00:00.000,40357283056.5,40320329572.75,24.25,213762850.0,11.772,1.736,False,False,False,True,213762850.0,20.0,True,False,False,True,0.1607,0.5402999231,0.1082507021,0.3457646401,1.6115407437,True,0.183039074,0.1645095671,C 制造业,0.024370095,0.1366068878,0.2478858351,0.1765327696,0.0082352941,73
001286,陕西能源,CN,SZSE,D 水电煤气,False,2023-04-10T00:00:00.000,48525000000.0,17469000000.0,12.94,715081036.0,16.175,1.765,False,False,False,True,715081036.0,20.0,True,False,False,True,0.1182,0.3677524469,0.1310871185,0.5453014856,2.9874811849,True,0.1878133982,0.3224439523,D 水电煤气,0.03125,0.1852822479,0.3103448276,0.4137931034,0.0218298363,6
002001,新和成,CN,SZSE,C 制造业,False,2004-06-25T00:00:00.000,92294853050.4,91196963697.84,30.03,736853385.0,13.588,2.627,False,False,False,True,736853385.0,20.0,True,False,False,True,0.2187,0.4467391229,0.3039903473,0.2772751322,1.3005872607,True,0.1662326171,0.136741171,C 制造业,0.0260926288,0.0953187643,0.2642706131,0.4143763214,0.0082352941,73
002003,伟星股份,CN,SZSE,C 制造业,False,2004-06-25T00:00:00.000,11342007289.62,9750842280.72,9.54,135424939.0,17.345,2.427,False,False,False,True,135424939.0,20.0,True,False,False,True,0.1441,0.4203445898,0.1342824627,0.3237517122,1.7600313931,True,0.1397273809,0.1021970403,C 制造业,0.040526849,0.1000275238,0.3007399577,0.3694503171,0.0082352941,73
